comparison,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc
Multimodal - Image-only,5.678233438485803,2.7527527527527518,8.98876404494382,1.4388489208633004,6.329844821364128,4.330692749171439,2.8597087548819844
Clinical-only - Multimodal,13.249211356466883,6.7502986857825515,18.53932584269663,6.474820143884896,12.779573367808661,10.975264732034596,9.220955812871257
