model,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc
Clinical-only,0.9305993690851736,0.9193548387096774,0.9606741573033708,0.8920863309352518,0.9395604395604396,0.9814485490259478,0.9836147585280288
Image-only,0.7413249211356467,0.8243243243243243,0.6853932584269663,0.8129496402877698,0.7484662576687117,0.8283889742138875,0.8628081128504964
Multimodal Fusion,0.7981072555205048,0.8518518518518519,0.7752808988764045,0.8273381294964028,0.8117647058823529,0.8716959017056018,0.8914052003993163
