comparison,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc
Multimodal - Image-only,0.056782334384858024,0.027527527527527518,0.0898876404494382,0.014388489208633004,0.06329844821364128,0.043306927491714386,0.028597087548819844
Clinical-only - Multimodal,0.13249211356466883,0.06750298685782552,0.1853932584269663,0.06474820143884896,0.1277957336780866,0.10975264732034595,0.09220955812871257
